"id","weight"
"CCLE.Cluster 2.carcinoma.CAL27_UPPER_AERODIGESTIVE_TRACT",2
"CCLE.Cluster 2.carcinoma.CAL29_URINARY_TRACT",2
"CCLE.Cluster 2.carcinoma.CAL33_UPPER_AERODIGESTIVE_TRACT",2
"CCLE.Cluster 2.carcinoma.CAL62_THYROID",2
"CCLE.Cluster 2.carcinoma.CAMA1_BREAST",2
"CCLE.Cluster 2.carcinoma.CAOV3_OVARY",2
"CCLE.Cluster 2.carcinoma.CAPAN2_PANCREAS",2
"CCLE.Cluster 2.carcinoma.CHAGOK1_LUNG",2
"CCLE.Cluster 2.malignant_melanoma.CJM_SKIN",2
"CCLE.Cluster 2.carcinoma.CL14_LARGE_INTESTINE",2
"CCLE.Cluster 2.carcinoma.COLO680N_OESOPHAGUS",2
"CCLE.Cluster 2.carcinoma.COV362_OVARY",2
"CCLE.Cluster 2.carcinoma.COV644_OVARY",2
"CCLE.Cluster 2.carcinoma.DANG_PANCREAS",2
"CCLE.Cluster 2.carcinoma.DETROIT562_UPPER_AERODIGESTIVE_TRACT",2
"CCLE.Cluster 2.carcinoma.DU145_PROSTATE",2
"CCLE.Cluster 2.carcinoma.EBC1_LUNG",2
"CCLE.Cluster 2.carcinoma.ECGI10_OESOPHAGUS",2
"CCLE.Cluster 2.carcinoma.EFM192A_BREAST",2
"CCLE.Cluster 2.carcinoma.EFM19_BREAST",2
"CCLE.Cluster 2.carcinoma.EFO21_OVARY",2
"CCLE.Cluster 2.carcinoma.EPLC272H_LUNG",2
"CCLE.Cluster 2.carcinoma.FADU_UPPER_AERODIGESTIVE_TRACT",2
"CCLE.Cluster 2.carcinoma.HARA_LUNG",2
"CCLE.Cluster 2.carcinoma.HCC1143_BREAST",2
"CCLE.Cluster 2.carcinoma.HCC1171_LUNG",2
"CCLE.Cluster 2.carcinoma.HCC1195_LUNG",2
"CCLE.Cluster 2.carcinoma.HCC1419_BREAST",2
"CCLE.Cluster 2.carcinoma.HCC1428_BREAST",2
"CCLE.Cluster 2.carcinoma.HCC1438_LUNG",2
"CCLE.Cluster 2.carcinoma.HCC1500_BREAST",2
"CCLE.Cluster 2.carcinoma.HCC1569_BREAST",2
"CCLE.Cluster 2.carcinoma.HCC1599_BREAST",2
"CCLE.Cluster 2.carcinoma.HCC15_LUNG",2
"CCLE.Cluster 2.carcinoma.HCC1937_BREAST",2
"CCLE.Cluster 2.carcinoma.HCC1954_BREAST",2
"CCLE.Cluster 2.carcinoma.HCC202_BREAST",2
"CCLE.Cluster 2.carcinoma.HCC2218_BREAST",2
"CCLE.Cluster 2.carcinoma.HCC2279_LUNG",2
"CCLE.Cluster 2.carcinoma.HCC2935_LUNG",2
"CCLE.Cluster 2.carcinoma.HCC366_LUNG",2
"CCLE.Cluster 2.carcinoma.HCC4006_LUNG",2
"CCLE.Cluster 2.carcinoma.HCC70_BREAST",2
"CCLE.Cluster 2.carcinoma.HCC78_LUNG",2
"CCLE.Cluster 2.carcinoma.HCC827_LUNG",2
"CCLE.Cluster 2.carcinoma.HCC95_LUNG",2
"CCLE.Cluster 2.carcinoma.HEC59_ENDOMETRIUM",2
"CCLE.Cluster 2.carcinoma.HPAFII_PANCREAS",2
"CCLE.Cluster 2.carcinoma.HS766T_PANCREAS",2
"CCLE.Cluster 2.carcinoma.HSC3_UPPER_AERODIGESTIVE_TRACT",2
"CCLE.Cluster 2.carcinoma.HSC4_UPPER_AERODIGESTIVE_TRACT",2
"CCLE.Cluster 2.carcinoma.HT1197_URINARY_TRACT",2
"CCLE.Cluster 2.carcinoma.HUG1N_STOMACH",2
"CCLE.Cluster 2.carcinoma.HUH1_LIVER",2
"CCLE.Cluster 2.carcinoma.HUPT3_PANCREAS",2
"CCLE.Cluster 2.carcinoma.J82_URINARY_TRACT",2
"CCLE.Cluster 2.carcinoma.JHOS2_OVARY",2
"CCLE.Cluster 2.carcinoma.JHUEM3_ENDOMETRIUM",2
"CCLE.Cluster 2.carcinoma.KMBC2_URINARY_TRACT",2
"CCLE.Cluster 2.carcinoma.KPL1_BREAST",2
"CCLE.Cluster 2.carcinoma.KU1919_URINARY_TRACT",2
"CCLE.Cluster 2.carcinoma.KYSE180_OESOPHAGUS",2
"CCLE.Cluster 2.carcinoma.KYSE30_OESOPHAGUS",2
"CCLE.Cluster 2.carcinoma.L33_PANCREAS",2
"CCLE.Cluster 2.carcinoma.LCLC97TM1_LUNG",2
"CCLE.Cluster 2.carcinoma.LI7_LIVER",2
"CCLE.Cluster 2.carcinoma.LUDLU1_LUNG",2
"CCLE.Cluster 2.carcinoma.LXF289_LUNG",2
"CCLE.Cluster 2.carcinoma.MCF7_BREAST",2
"CCLE.Cluster 2.carcinoma.MDAMB175VII_BREAST",2
"CCLE.Cluster 2.carcinoma.MDAMB361_BREAST",2
"CCLE.Cluster 2.carcinoma.MDAMB415_BREAST",2
"CCLE.Cluster 2.carcinoma.MDAMB436_BREAST",2
"CCLE.Cluster 2.carcinoma.MDAMB468_BREAST",2
"CCLE.Cluster 2.carcinoma.MKN1_STOMACH",2
"CCLE.Cluster 2.carcinoma.MKN74_STOMACH",2
"CCLE.Cluster 2.carcinoma.MKN7_STOMACH",2
"CCLE.Cluster 2.carcinoma.NCCSTCK140_STOMACH",2
"CCLE.Cluster 2.carcinoma.NCIH1435_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH1437_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH1568_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH1623_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH1648_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH1650_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH1651_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH1781_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH1792_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH1793_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH1838_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH1944_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH1975_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH2009_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH2023_LUNG",2
